элитная,фужерные,для мужчин,"Бергамот, Зеленый мандарин","Лаванда, Фиалка","Бобы тонка, Ветивер, Кашемировое дерево, Кожа",Италия,2012,Италия,35105,Trussardi,Trussardi My Land
элитная,цитрусовые,для мужчин,"Гедион, Грейпфрут, Кориандр, Мандарин","Ветивер, Экстракт даваны","Кедр, Ладан",Франция,2002,Франция,2270,Givenchy,Givenchy Pour Homme
элитная,цитрусовые,для женщин,"Бергамот, Кожура апельсина, Лимон, Ревень","Амбра, Гвоздика, Дубовый мох, Жасмин, Мускус","Амбра, Гвоздика, Дубовый мох, Жасмин, Зеленый чай, Мускус, Тмин, Щавель",Испания,1999,США,1801,Elizabeth Arden,Elizabeth Arden Green Tea
элитная,"фруктовые, цветочные",для женщин,"Белая фрезия, Горький апельсин, Персик","Жасмин, Магнолия, Роза","Амбра, Кедр из Вирджинии, Мускус",Франция,2010,Франция,15223,Lanvin,Lanvin Marry Me
миддл ап,"цветочные, цитрусовые",для женщин,"Бергамот, Грейпфрут, Фрезия","Ирис, Цветы лотоса","Гелиотроп, Мускус",Италия,2001,Италия,2216,Gian Marco Venturi,Gian Marco Venturi Woman
элитная,"цветочные, шипровые",для женщин,Цитрусовые ноты,"Водяной гиацинт, Жасмин","Амбра, Белый мускус, Ветивер, Пачули, Тиковое дерево",Франция,2007,Франция,1282,Chanel,Chanel Chance Eau Fraiche
элитная,"древесные, мускусные, цветочные",для женщин,"Ананас, Бергамот, Грейпфрут, Персик, Синяя роза","Гардения, Гиацинт, Красное яблоко, Ландыш, Роза, Фиалка, Фрезия, Цветок лотоса","Амбра, Белый мускус, Кедр, Ладан, Морские водоросли, Мускус, Пачули",Франция,2007,Япония,11834,Shiseido,Shiseido Zen
миддл маркет,"древесные, мускусные, цветочные",для женщин,"Апельсин, Грейпфрут, Красная смородина, Лимон","Камыш, Корица, Ландыш, Чайная роза","Древесина танака, Кедр, Мускус",Италия,2004,Италия,3474,Moschino,Moschino I Love Love
элитная,цветочные,для женщин,"Лимон, Мята","Жасмин, Пион, Розовый перец","Кедр, Лабданум, Сахар",Франция,2010,Италия,15199,Giorgio Armani,Giorgio Armani Acqua di Gioia
элитная,"древесные, цветочные",для женщин,"Бергамот, Зеленое яблоко, Масло мускатного ореха, Перец, Фрезия","Гелиотроп, Гибискус, Жасмин, Роза, Фиалка","Кедр, Кожа, Лабданум, Ладан, Мускус, Сандаловое дерево","Великобритания, Испания",2003,Франция,3022,Lacoste,Lacoste Pour Femme
элитная,"пряные, фруктовые, цветочные",для женщин,"Бергамот, Корень можжевельника, Мандарин, Цветок апельсина","Гедион, Древесные ноты, Зеленый перец, Красный перец, Ландыш","Белый мускус, Кардамон, Шалфей","Испания, Италия",2000,Испания,460,Angel Schlesser,Angel Schlesser Femme
элитная,"фруктовые, цветочные",для женщин,"Колокольчик, Лимон","Бамбук, Белая роза, Жасмин","Амбра, Кедр, Мускус","Германия, Франция",2001,Италия,1649,Dolce&Gabbana,Dolce&Gabbana Light Blue
элитная,"древесные, пряные",для мужчин,"Апельсин, Грейпфрут, Минералы","Герань, Кедр атласский, Перец, Роза","Бензоин, Ветивер, Пачули",Франция,2006,Франция,2585,Hermes,Hermes Terre d'Hermes
элитная,цветочные,для женщин,"Грейпфрут, Магнолия, Огурец","Зеленое яблоко, Ландыш, Роза, Тубероза, Фиалка","Белая амбра, Древесные ноты",Швейцария,2004,США,1685,DKNY,DKNY Be Delicious
элитная,"восточные, цветочные",для женщин,"Бергамот, Грейпфрут, Листья черной смородины","Кактус, Орхидея","Амбра, Ваниль, Кедр","Европейский Союз, США",2007,США,977,Calvin Klein,Calvin Klein CK IN2U Her
элитная,"восточные, цветочные",унисекс,Амброксан,Амброксан,Амброксан,Великобритания,2008,Германия,16319,Escentric Molecules,Escentric Molecules Molecule 02
элитная,"фруктовые, цветочные",для женщин,"Айва, Грейпфрут","Гиацинт, Жасмин","Амбра, Ирис, Кедр, Мускус",Франция,2010,Франция,12785,Chanel,Chanel Chance Eau Tendre
